1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
332,484,320,272,328,388,,358.5,,615,435.9,1058,462,324.467,334.6,,
340,476,320,264,328,384,,355,,605.8,425,1028,454.4,321.198,324.4,,
,460,316,257,324,380,,355,,596.6,418,980,450.7,314.711,314.4,,
,452,316,251,320,376,,351.6,,583,414.5,938,44.7,311.492,,,
,444,316,248,328,360,245,348.2,,560.5,404,896,443.3,305.105,,,
,436,308,245,332,356,239,341.4,,533.8,393.5,908,439.6,301.937,,362,
,428,368,245,340,348,,331.2,,525,386.5,872,432.2,292.531,,358.5,
,428,364,239,336,336,,321,,511.8,383,818,425,289.43,,355,
,412,312,236,324,328,,308,,503,369,783,421.5,283.276,,,
,404,284,233,324,316,,301.8,,494.4,358.5,739.2,418,277.19,,,
,396,284,230,316,308,,295.8,,486,348.2,679.4,414.5,271.17,,,268.185
,388,284,224,396,276,,290,,477.8,334.6,560.5,411,268.185,,,265.217
,380,284,221,288,304,,287.2,,473.8,324.4,511.8,404,265.217,,,259.33
,372,280,218,280,304,,284.4,,462,314.4,465.9,397,259.33,,,
,364,280,215,268,300,,281.6,,450.7,304.9,400.5,386.5,256.412,,,
,356,280,215,260,296,,278.8,215,44.3,295.8,355,383,253.511,,,
,348,276,215,257,292,,278.8,432.2,439.6,287.2,348.2,372.5,247.758,,,
,340,272,215,254,292,,276,215,435.9,284.4,334.6,369,244.906,,,
,332,264,215,254,284,,273.2,,435.9,284.4,324.4,365.5,239.253,,,
,324,264,215,248,276,,262,,432.2,278.8,321,362,236.452,,,
,316,257,215,242,260,,256.4,,432.2,278.8,317.7,358.5,233.667,,,
,308,257,215,239,257,,253.6,,432.2,276,311.2,355,228.147,,,
,300,257,215,233,254,,250.8,,432.2,,304.9,348.2,228.147,,,
,292,254,215,230,251,,245.2,,428.6,,304.8,372.5,222.694,,,
,284,254,215,227,251,,242.4,,428.6,,295.8,369,219.992,,,
,276,254,215,224,245,,239.6,,428.6,,290,358.5,217.307,,,
,268,254,212,221,242,,236.8,,425,,284.4,348.2,214.639,,,
,254,251,215,218,239,,234,,421,,278.8,331.2,211.988,,,
,248,248,212,212,230,,231.3,,418,,278.8,324.4,209.353,,,
,242,242,212,203,230,,225.9,,414.5,,273.2,314.4,206.734,,,
,236,239,212,200,227,,220.5,,407.5,,270.4,308,206.734,,,
,,239,212,197,224,,215.1,,379.5,245.2,264.8,304.9,201.547,,,
,,239,212,197,218,,212.4,,355,242.4,259.2,301.8,201.547,,,
,,239,209,194,196,,207,,348.2,2389.6,256.4,295.8,198.979,,,
,,239,206,191,192,,207,,341.4,239.6,253.6,290,196.427,,,
,,239,197,182,188,,204.4,,338,,250.8,278.8,196.427,,,
,,239,197,179,182,,201.8,,334.6,,248,270.4,193.892,,,
,,233,191,179,179,,199.2,,334.6,601.2,242.4,267.6,191.374,,,
,,224,188,176,173,,196.6,,327.8,578.5,239.6,264.8,186.386,,,
,,212,182,173,173,,194,,312,569.5,236.8,262,186.386,,,
,,206,176,167,173,,191.4,,314,556,231.3,259.2,181.466,,,
,257,200,170,164,170,,188.8,,308,533.8,231.3,256.4,181.466,,,
,254,197,167,161,170,,183.6,,301.8,516.2,225.9,256.4,181.466,,,
,254,185,164,158,167,,181,,301.8,507.4,225.9,250.8,181.466,,,
,254,179,161,152,167,,178.4,,295.8,949.4,223.2,248,181.466,,,
,260,176,161,149,167,,175.9,,295.8,486,223.2,245.2,181.466,,,
,260,173,155,146,167,,171.1,,290,494.4,217.8,242.4,186.386,,,
,268,173,152,146,159,,171,,287,473.8,2151,236.8,196.427,,,
,276,173,149,140,155,,168.7,,281,462,2124,234,196.427,,,
,268,173,146,134,151,,166.3,,278.8,458.2,2124,231.3,196.427,,,
,260,170,146,131,144,,166.3,,281.6,447,209.7,231.3,188.872,,,
,254,188,140,125,141,,163.9,,278.8,435.9,207,228.6,183.918,,,
,248,200,140,122,138,,161.5,,273.2,425,207,223.2,181.466,,,
,242,209,137,116,135,,161.5,,270.4,421.5,204.4,220.5,176.611,,,
,230,212,137,95,132,,161.5,,270.4,418,199.2,217.8,171.824,,,
,221,203,134,83,132,,161.5,,267.6,407.5,196.6,215.1,167.102,,,
,212,200,131,80,128,,161.5,,262,393.5,199.4,212.4,162.447,,,
,206,200,131,80,120,,159.2,,259.4,372.5,191.4,212.4,157.859,,,
,200,200,119,80,116,,157,,250.8,362,188.8,207,153.337,,,
,194,,,,108,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,188,197,,80,100,,150.7,212.4,245.2,351.6,188.8,199.2,153.337,,,
,185,197,,80,94,,146.5,209.7,239.6,348.2,186.2,196.6,151.1,,,
,182,200,,80,93.5,,144.4,209.7,239.6,369,183.6,194,148.881,,,
,176,206,,80,93,,142.3,201.8,234,351.6,183.6,188.8,148.881,,,
,173,206,,80,93,,138.1,194,228.6,344.8,181,186.2,148.881,,,
,173,212,,80,92.5,,136,188.8,223.2,327.8,181,183.2,148.881,,,
,170,215,,80,92.5,,134,183.6,217.8,313.7,175.9,181,144.491,,,
,164,215,,80,92,,132,178.4,212.4,304.9,175.9,175.9,140.168,,,
,161,245,,80,91,,132,173.5,212.4,292.9,175.9,173.5,138.031,,,
,158,234,,80,91,,132,173.5,209.7,284.4,171.1,171.1,142.321,,,
,158,332,,80,90,,132,166.3,207.7,273.2,171.1,163.9,151.1,,,
,155,300,,80,89,,136,163.9,207,262,171.1,159.2,144.491,,,
,152,280,,80,89,,140.2,161.5,204.4,,168.7,152.8,,,,
,152,233,,80,89,,142.3,156.2,201.8,,171.1,150.7,,,,
,146,230,,80,90,,146.5,154.9,199.12,,181,146.5,,,,
,146,230,,80,89,,148.6,152.8,196.6,,194,142.3,,,,
,,227,,80,89,,150.7,150.7,196.6,,207,140.2,,,,
,,218,,80,89,,150.7,146.5,194,,212.4,140.2,,,,
,,218,,80,89,,148.6,144.4,194,,21.4,140.2,,,,
,,260,,80,89,,146.5,142.3,196.6,,201.8,138.1,,,,
,,424,,80,89,,146.5,140.2,201.8,,191.4,138.1,,,,
,,488,,80,89,,144.4,136,209.7,,183.6,138.1,,,,
,,452,,80,89,,148.6,134,215.1,,175.9,136,,,,
,,388,,80,89,,150.7,130,217.8,,168.7,136,,,,
,,320,,80,89,,161.5,128,217.8,,161.5,134,,,,
,,288,,80,89,,166.3,128,228.6,,157,134,,,,
,,392,,80,89,,166.3,124,220.5,,152.8,132,,,,
,,392,,80,89,,166.3,120,217.8,,148.6,132,,,,
,,428,,80,89,,163.9,118,209.7,,146.5,130,,,,
,,432,,80,89,,159.2,118,201.8,,144.4,130,,,,
,,396,,80,89,,157,122,196.6,,142.3,130,,,,
,,372,107,80,89,,152.8,120,191.4,,1381,128,,,,
,,320,101,80,89,,142.3,120,191.4,,1360,128,,,,
,,272,101,80,89,,136,120,186.2,,1340,146.5,,,,
,,239,101,80,89,,134,118,183.6,,1320,146.5,,,,
,,215,95,80,89,,130,114.1,178.4,,130,148.6,,,,
,,191,95,80,89,,124,120,175.9,,130,150.7,,,,
,,176,95,80,89,,128,122,178.4,,134,150.7,,,,
,,158,92,80,89,,130,124,166.3,,152.8,148.6,,,,
,,146,92,80,90,,132,120,159.2,,148.6,144.4,,,,
,,131,92,80,92,,128,120,152.8,,138.1,142.3,,,,
,,116,89,80,92,,122,118,154.9,,132,132,,,,
,,128,92,80,91,,126,118,157,,128,126,,,,
,,116,92,80,90,,112.2,114.1,152,,126,122,,,,
,,110,89,80,90,,122,112.2,152.8,,128,122,,,,
,,125,89,80,93,,126,128,161.5,,128,124,,,,
,,125,89,80,104,,122,108.4,157,,128,132,,,,
,,131,89,80,108,,120,104.6,157,,128,140,,,,
,,113,89,80,100,,112,104.6,159.2,,128,144.4,,,,
,,110,,80,92,,102.7,100.8,157,,128,140.2,,,,
,,131,,80,116,,93.6,97.2,166.3,,128,128,,,,
,,137,,80,120,,86.7,95.4,166.3,,130,120,,,,
,,113,,80,128,,83.3,93.6,166.3,,130,116,,,,
,,116,,80,138,,83.3,91.8,161.5,,130,108.4,,,100.58,
,,110,,80,141,,81.6,90.1,157,,183.6,106.5,,,96.985,
,,110,,80,159,,81.6,88.4,157,,228.6,106.5,,,93.456,
,,125,,80,135,,80,86.7,157,,196.6,100.8,,,111.761,
,,152,,80,108,,80,81.6,148.6,,196.6,98.2,,,111.761,
,,128,,80,94,,77,81.6,148.6,,204.4,100.8,,,113.683,
,,119,,80,91.5,,77,90.1,144.4,,253.6,104.6,,,113.683,
,,125,,80,97,,77,90.1,,,259.2,106.5,,,111.761,
,,,,,,,,,,,,,,,,
,,125,,80,176,,81.6,106.5,146.5,,220.5,1204.6,,,111.761,
,,218,,80,159,,72.5,116,152.8,,212.4,104.6,,,111.761,
,,272,,80,147,,71,124,159.2,,220.5,106.5,,,123.538,
,,376,,80,141,,69.5,140.2,166.3,,207,112.2,,,148.881,
,,400,,80,138,,97.2,150.7,168.7,,199.2,118,,,113.683,
,,404,,80,138,,90.1,124,154.9,,201.8,144.4,,,111.761,
,,340,,80,174,,104.6,118,148.6,,194,270.4,,,146.678,
,,288,,80,124,,150.7,108.4,146.5,,188.8,311.2,,,211.988,
,,236,,80,135,,159.2,88.4,148.6,,209.7,372.5,,,157.859,
,,209,,80,141,,186.2,88.4,144.4,,217.7,601.21,,,135.911,
,,185,,80,151,,191.4,86.7,159.2,,215.1,533.8,,,148.881,
,,197,,80,138,,186.2,88.4,212.4,,248,569.5,,,164.766,
,,236,,122,144,,186.2,90.1,196.6,,250.8,578.5,,,171.824,
,,215,,95,144,,259.2,91.8,188.8,,304.9,538.2,,,209.353,
,,182,,110,128,,486,99,186.2,,290,469.8,,,211.988,
,,182,,110,112,,798,99,223.2,,218.6,421.5,,,201.547,
,,182,,101,138,,583,99,245,,308,358.5,,,188.872,
,,155,,95,135,,454.4,142.3,273.2,,311.2,324.4,,,176.611,
,,158,,89,147,,362,150.7,298.8,126,284.4,292.9,,,171.824,
,,170,,113,116,,327.8,171.1,331.2,99,2362,304.9,,,181.466,
,,161,,276,89,,311.2,166.3,365.5,110.3,267.6,376,,,196.427,
,,149,,230,89,,292.9,207,338,122,253.6,462,,,171.824,
,,191,,212,89,,284.4,248,372.5,122,256.4,376,,,162.447,
,,140,,251,89,,301.8,217.8,454.4,132,270.4,372.5,,,148.881,
,,152,,292,92,,314.4,212.4,439.6,284.4,264.8,362,,,140.168,
,,164,,308,176,,262,220.5,390,278.8,267.6,278.8,,,133.808,
,,173,,304,364,,281.6,245.2,344.8,400.5,259.2,362,,,121.534,
,,134,,308,296,,344.8,245.2,341.8,707,262,376,,,153.337,
,,155,,308,268,,344.8,228.6,355,574,264.8,327.8,,,157.859,
,,203,,328,308,,511.8,191.4,362,656.4,308,301.8,,,144.491,
,,164,,340,352,,803,225.9,365.5,739.2,341.4,273.2,,,167.102,
,,143,,356,280,,938,209.7,358.45,702.4,465.9,298.8,,,211.988,
,,137,,360,388,,808,199.2,379.5,803,443.3,327.8,,,230.899,
,,149,,352,605,,739.2,270.4,369,730,498.7,369,,,250.626,
,,134,,324,372,,702.4,331.2,348.2,533.8,624.2,547,,,461.079,
,,110,,308,300,,684,198.8,372.5,587.5,425,425,,,445.56,
,,110,,324,276,,605.8,276,355,383,358.5,411,,,379.041,
,,122,,368,236,,758.2,418,338,351.6,481.9,486,,,404.265,
,,173,,344,188,,661,486,334.6,418,386.5,542.6,,,301.937,
,,292,,316,124,,783,565,341.4,587.5,414.5,511.8,,,321.198,
,,476,,312,138,,720.8,647.2,331.2,684,793,494.4,,,286.344,
,,444,,276,233,,783,730,362,716.2,688.6,574,,,239.253,
,,645,,272,686,,674.8,813,404,707,679.4,619.6,,,236.452,
,,710,,296,590,,848,920,824,601.2,638,748,,,250.626,
,,595,,324,650,,980,1028,565,473.8,547,884,,,324.467,
,,704,,380,575,,783,1136,1160,542.6,578,763.1,,,334.374,
,,794,,468,580,,730,1244,1184,665.6,587.5,642.6,,,525.841,
,,734,,575,565,,768,1429,1331,633.4,688.6,665.6,,,461.079,
,,698,,872,412,,730,1555,1401,697.8,642.6,1022,,,449.414,
,,1046,,908,352,,803,1681,1387,758.2,693.2,920,,,430.309,
,,1010,,806,352,,902,1818,783,730,716.2,734.6,,,501.052,
,,830,,380,570,,808,1962,803,684,702.4,743.9,,,426.538,
,,986,,306,692,,938,2106,824,818,872,803,,,538.462,
,,1179,,380,500,,1064,2265,860,824,854,830,,,555.525,
,,1004,,908,630,,435.9,2427,1016,783,950,836,,,542.702,
,,722,,1112,560,,418,2499,1058,808,1034,872,,,521.667,
,,668,,962,610,,854,2517,587.5,808,854,830,,,501.052,
,,1214,,902,565,,565,3504,578.5,788,884,808,,,608.329,468.939
,,1494,,872,565,,950,3504,624.2,778,944,854,,,586.033,453.286
,,1410,,1064,656,,1028,3493,743.9,914,848,950,,,635.639,492.923
,,1312,,1298,590,,1076,3482,848,986,842,914,,,791.527,534.238
,,,,,,,,,,,,,,,,
,,1606,,1256,650,,1076,3669,830,902,992,890,,,849.1,505.141
,,1235,,1228,782,,1450,3658,968,968,1184,788,,,925.327,476.867
,,2003,,1172,782,,1401,3515,1106,1136,1380,872,,,859.787,457.174
,1193,2039,,1256,878,,1618,3526,1274,1317,1443,854,,,947.714,581.625
,1438,2138,,1298,926,,2010,3625,1298,1317,1576,974,,,993.299,696.889
,1771,1820,,1207,1016,,2823,4569,1324,1268,1770,1070,,,1010.672,870.542
,1543,1924,,1144,1214,,3250,5066,1359,1555,1639,11789,,,914.235,1069.682
,1585,1780,,1249,1396,,4044,5556,1527,1834,1794,1238,,,1124.236,1142.725
,1756,1932,,2052,1764,,3570,6004,1723,1954,1826,1359,,,1315.986,1124.236
,1836,2228,,2550,2630,,3030,6242,1802,1890,1842,1415,,,1192.775,603.836
,2264,2039,,2470,2300,,2890,6494,1834,1746,1906,1632,,,1004.864,1180.161
2381,2192,1876,1438,2345,2237,,2733,6494,1922,1646,2139,1810,,,1039.966,1243.908
2630,2273,2440,1564,2264,2165,,2751,6550,2130,1746,2860,1922,,,1075.676,1296.125
2540,2111,2400,1692,2336,2291,,2751,6676,2247,1970,3180,1802,,,1250.376,1335.999
2780,2590,2530,2138,2039,2273,,2742,6774,2301,2256,3603,1646,,,1799.327,1136.545
2890,2600,2174,1949,2174,2410,,2832,6928,2418,1842,3460,1702,,,1566.22,1034.073
2660,2790,2381,2039,2550,2610,,2715,7054,2544,3526,3537,2058,,,6923.945,1034.073
2670,4127,2183,1812,2430,2670,,2688,5794,3070,3270,3260,2034,,,1263.362,827.928
2680,3940,2381,2273,2560,2410,,3020,6886,3100,3603,3120,2034,,,1250.376,1069.682
2630,3940,2318,2093,2820,2327,,3416,6466,3170,4056,2742,2724,,,1296.125,1180.161
3522,4450,2390,2690,3350,2147,,3559,6186,3120,4008,2860,2544,,,1342.704,1237.457
